village,vlcode,block,district,flood_hazard_category,flood_hazard_score,flood_occurrence_range,flood_data_source
Silapokhari,395892,Rajnagar,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Charipokharia,395893,Rajnagar,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jharkata,395904,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sribantapur,395839,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Panchu Palli,395817,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Khulari,395741,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Ajagar Patia,395824,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Padmanavpur,395816,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Trailokyapur,395729,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Badapanka,395693,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Balarampur,395866,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bajapur,395753,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sana Gokhani,395821,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Balunga Patia,395825,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nuagan Baragan,395863,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sila Pokhari,395818,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Rajendranarayanpur,395805,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jaduchandrapur,395903,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Brahmanikholha,395895,Rajnagar,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kusunpur,395853,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nalajodi,395867,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gupti,395838,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Daenigiri,395754,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Daruora,395846,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jhadamala,395755,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Ghadiamal,395844,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bandhamala,395751,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nuagan,395843,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Dibakarpur,395842,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Ghusuria,395738,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Charipokharia,395739,Rajkanika,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Biswanathpur,395742,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Iswarpur,395813,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Righa Garh,395812,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kujipur,395730,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Subhadraprasad Dia,395734,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gharabhanjakola,395737,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nuakhunta,395819,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Balabhadrapur,395823,Rajnagar,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gumura,395826,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gajarajpur,395740,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gobindakana,395735,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Dighi,395814,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Tarapada,395731,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kantipokhari,395727,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Iswarpur,395682,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Arjunpur,395840,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Taneipada,395679,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Pitanda,395820,Rajnagar,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nuagaon Satagan,395905,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Baliora,395883,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gopinathpur,395906,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kendukolha,395888,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bedhuakolha,395851,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Balabhadraprasad Dia,395689,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bhitarkanika,395806,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Hansina Dia,395848,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Debendranarayanpur,395875,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sangopalpur,395889,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Matia,395611,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Porala,395669,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Satagharia,395659,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Ektala,395612,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Mahurigan,395613,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Deuli,395617,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Baranga,395622,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Taras,395624,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Ostia,395614,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Saradaprasad,395762,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Langalabhanja,395610,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Endulapur,395684,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gokarneswar,395663,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kantapada,395664,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Badagara,395665,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kalikapur,395668,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Burudia,395623,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bajarpur,395685,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Cherantapada,395667,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Panki,395607,Rajkanika,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gunthala,395604,Rajkanika,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Upulei,395680,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Olaver,395656,Rajkanika,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Hariharpursasan,395672,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Rajendranarayanpur,395802,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Ganja,395660,Rajkanika,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Baghuasuni,395621,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bangarakuan,395616,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gualigan,395615,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gobindapur,395633,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sialia,395625,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Badataila,395628,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jagulaipada,395630,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Barada,395627,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Arasa,395626,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sikudi,395619,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bahadiha,395609,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Manapur,395605,Rajkanika,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Malisahada,395673,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kalisipada,395674,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Pimpudi,395670,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gangadharpur,395666,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Balibhanda,395654,Rajkanika,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Madhupara,395677,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Patuli,395636,Rajkanika,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Mantapara,395678,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Pratappur,395637,Rajkanika,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Akhulipada,395671,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Balarampur,395635,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Baghabuda,395629,Rajkanika,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Govindpur,395803,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Safalanga,395634,Rajkanika,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Pegarapada,395639,Rajkanika,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nahuni,395638,Rajkanika,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Achinta,395631,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Domanda Kaema,395606,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nuagan,395608,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Upulei Dia,395681,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sanataila,395632,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nuagan,395686,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Durgaprasad,395801,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Ragadapatia,395800,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bankual,395799,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Dangamal,395766,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Trilochanpur,395765,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kamalpur,395764,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Badhadia,395763,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Laxmiprasad Dia,395687,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Asoka Dia,395688,Rajkanika,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kanhupur,396072,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Banipal,396067,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Rangani,395797,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Narayanpur,395796,Rajnagar,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Udyan,395784,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Paramanandapur,395880,Rajnagar,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Mohanpur,395879,Rajnagar,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Govindapur,395878,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Dalei Sahi,395785,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Ananta Keshari,395782,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Ahirajpur,396063,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sir Rajendrapur,396065,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Rabindrapalli,396070,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Krishnanagar,395770,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Khas Munda,395783,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sailendra Sarai,395781,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bhanja Prasad,395778,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Dantiapada,396071,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Keruapal,395786,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bagapatia Uttar,395827,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sourendrapur,395793,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Pravati,396064,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Harina Pokhari,395795,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Magarkanda,395833,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Satavaya,396069,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Manjulapalli,396066,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Barahipur,396068,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bagapatia,395834,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Amarabati,395790,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sailendranarayanpur,395811,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gopaljew Patana,395808,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Rajpatana,395779,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kanak Nagar,395771,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sailendranarayanpur Purbajungal Block,395810,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Talchua,396062,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sailendranagar,395772,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Baghua,395769,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Rajendranagar,395774,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Rajeswarinagar,395773,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Tikayat Nagar,395775,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Birabhanjapur,395776,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Chanra Kolha,395792,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Garta,395791,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Habelichintamanipur,395829,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Baunsagarh,395832,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sanagahiramatha,395830,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gopaljewpatna J Block,395809,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Pata Paria,395807,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Giria Pahi,395787,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Vekta,395798,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sikar Pahi,395794,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Baghamari,395789,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Radhamalipur,395788,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jyoti Prasad,395777,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sahebnagar,395881,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Suravi,395780,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sadanandapur,395876,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Tentuliakolha,395877,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Badagahiramatha,395831,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kaduanasi,395828,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Pinchapatia,395767,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Subarnpur,395768,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Hukitola,396061,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Talapatta,396052,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
